No    	Word                	Translate           	Count 	Freq 	Cum_Freq
299   	cut                 	                    	2     	0.0487%	71.6407%
300   	consumption         	                    	2     	0.0487%	71.6894%
301   	luck                	                    	2     	0.0487%	71.7381%
302   	practice            	                    	2     	0.0487%	71.7868%
303   	makes               	                    	2     	0.0487%	71.8354%
304   	success             	                    	2     	0.0487%	71.8841%
305   	natural             	                    	2     	0.0487%	71.9328%
306   	talent              	                    	2     	0.0487%	71.9815%
307   	door                	                    	2     	0.0487%	72.0302%
308   	opportunities       	                    	2     	0.0487%	72.0789%
309   	comes               	                    	2     	0.0487%	72.1276%
310   	naturally           	                    	2     	0.0487%	72.1762%
311   	person              	                    	2     	0.0487%	72.2249%
312   	wealthy             	                    	2     	0.0487%	72.2736%
313   	putting             	                    	2     	0.0487%	72.3223%
314   	things              	                    	2     	0.0487%	72.3710%
315   	passages            	                    	2     	0.0487%	72.4197%
316   	mountain            	                    	2     	0.0487%	72.4684%
317   	historical          	                    	2     	0.0487%	72.5170%
318   	place               	                    	2     	0.0487%	72.5657%
319   	ground              	                    	2     	0.0487%	72.6144%
320   	buy                 	                    	2     	0.0487%	72.6631%
321   	done                	                    	2     	0.0487%	72.7118%
322   	away                	                    	2     	0.0487%	72.7605%
323   	extremely           	                    	2     	0.0487%	72.8092%
324   	daily               	                    	2     	0.0487%	72.8578%
325   	savings             	                    	2     	0.0487%	72.9065%
326   	recordings          	                    	2     	0.0487%	72.9552%
327   	talks               	                    	2     	0.0487%	73.0039%
328   	followed            	                    	2     	0.0487%	73.0526%
329   	recording           	                    	2     	0.0487%	73.1013%
330   	experience          	                    	2     	0.0487%	73.1500%
331   	necessary           	                    	2     	0.0487%	73.1986%
332   	free                	                    	2     	0.0487%	73.2473%
333   	doing               	                    	2     	0.0487%	73.2960%
334   	burdens             	                    	2     	0.0487%	73.3447%
335   	easily              	                    	2     	0.0487%	73.3934%
336   	breakable           	                    	2     	0.0487%	73.4421%
337   	latest              	                    	2     	0.0487%	73.4907%
338   	printer             	                    	2     	0.0487%	73.5394%
339   	attended            	                    	2     	0.0487%	73.5881%
340   	widely              	                    	2     	0.0487%	73.6368%
341   	printing            	                    	2     	0.0487%	73.6855%
342   	detail              	                    	2     	0.0487%	73.7342%
343   	far                 	                    	2     	0.0487%	73.7829%
344   	costs               	                    	2     	0.0487%	73.8315%
345   	ten                 	                    	2     	0.0487%	73.8802%
346   	word                	                    	2     	0.0487%	73.9289%
347   	list                	                    	2     	0.0487%	73.9776%
348   	given               	                    	2     	0.0487%	74.0263%
349   	read                	                    	2     	0.0487%	74.0750%
350   	choice              	                    	2     	0.0487%	74.1237%
351   	sound               	                    	2     	0.0487%	74.1723%
352   	try                 	                    	2     	0.0487%	74.2210%
353   	risks               	                    	2     	0.0487%	74.2697%
354   	clear               	                    	2     	0.0487%	74.3184%
355   	explanation         	                    	2     	0.0487%	74.3671%
356   	country             	                    	2     	0.0487%	74.4158%
357   	step                	                    	2     	0.0487%	74.4645%
358   	offer               	                    	2     	0.0487%	74.5131%
359   	those               	                    	2     	0.0487%	74.5618%
360   	us                  	                    	2     	0.0487%	74.6105%
361   	scientific          	                    	2     	0.0487%	74.6592%
362   	communications      	                    	2     	0.0487%	74.7079%
363   	including           	                    	2     	0.0487%	74.7566%
364   	understand          	                    	2     	0.0487%	74.8053%
365   	united              	                    	2     	0.0487%	74.8539%
366   	development         	                    	2     	0.0487%	74.9026%
367   	growth              	                    	2     	0.0487%	74.9513%
368   	figure              	                    	2     	0.0487%	75.0000%
369   	significant         	                    	2     	0.0487%	75.0487%
370   	uc                  	                    	2     	0.0487%	75.0974%
371   	statements          	                    	2     	0.0487%	75.1461%
372   	lull                	                    	2     	0.0487%	75.1947%
373   	ces                 	                    	2     	0.0487%	75.2434%
374   	coolest             	                    	2     	0.0487%	75.2921%
375   	printers            	                    	2     	0.0487%	75.3408%
376   	hope                	                    	2     	0.0487%	75.3895%
377   	driven              	                    	2     	0.0487%	75.4382%
378   	markets             	                    	2     	0.0487%	75.4869%
379   	smart-home          	                    	2     	0.0487%	75.5355%
380   	seem                	                    	2     	0.0487%	75.5842%
381   	industry            	                    	2     	0.0487%	75.6329%
382   	shapiro             	                    	2     	0.0487%	75.6816%
383   	association         	                    	2     	0.0487%	75.7303%
384   	mean                	                    	2     	0.0487%	75.7790%
385   	adolescents         	                    	2     	0.0487%	75.8277%
386   	technologies        	                    	2     	0.0487%	75.8763%
387   	appeal              	                    	2     	0.0487%	75.9250%
388   	full                	                    	2     	0.0487%	75.9737%
389   	pushing             	                    	2     	0.0487%	76.0224%
390   	average             	                    	2     	0.0487%	76.0711%
391   	compatibility       	                    	2     	0.0487%	76.1198%
392   	tablet              	                    	2     	0.0487%	76.1685%
393   	different           	                    	2     	0.0487%	76.2171%
394   	less                	                    	2     	0.0487%	76.2658%
395   	promoting           	                    	2     	0.0487%	76.3145%
396   	yet                 	                    	2     	0.0487%	76.3632%
397   	technologically     	                    	2     	0.0487%	76.4119%
398   	meaningful          	                    	2     	0.0487%	76.4606%
399   	dubravac            	                    	2     	0.0487%	76.5093%
400   	shift               	                    	2     	0.0487%	76.5579%
401   	cool                	                    	2     	0.0487%	76.6066%
402   	curran              	                    	2     	0.0487%	76.6553%
403   	over                	                    	2     	0.0487%	76.7040%
404   	particular          	                    	2     	0.0487%	76.7527%
405   	factor              	                    	2     	0.0487%	76.8014%
406   	released            	                    	2     	0.0487%	76.8500%
407   	smartwatch          	                    	2     	0.0487%	76.8987%
408   	improve             	                    	2     	0.0487%	76.9474%
409   	growing             	                    	2     	0.0487%	76.9961%
410   	provide             	                    	2     	0.0487%	77.0448%
411   	customized          	                    	2     	0.0487%	77.0935%
412   	another             	                    	2     	0.0487%	77.1422%
413   	steps               	                    	2     	0.0487%	77.1908%
414   	despite             	                    	2     	0.0487%	77.2395%
415   	maturing            	                    	2     	0.0487%	77.2882%
416   	demand              	                    	2     	0.0487%	77.3369%
417   	fitness             	                    	2     	0.0487%	77.3856%
418   	connected           	                    	2     	0.0487%	77.4343%
419   	future              	                    	2     	0.0487%	77.4830%
420   	presence            	                    	2     	0.0487%	77.5316%
421   	officials           	                    	2     	0.0487%	77.5803%
422   	analyst             	                    	2     	0.0487%	77.6290%
423   	potential           	                    	2     	0.0487%	77.6777%
424   	worried             	                    	2     	0.0487%	77.7264%
425   	positive            	                    	2     	0.0487%	77.7751%
426   	innovative          	                    	2     	0.0487%	77.8238%
427   	recent              	                    	2     	0.0487%	77.8724%
428   	decide              	                    	2     	0.0487%	77.9211%
429   	action              	                    	2     	0.0487%	77.9698%
430   	vital               	                    	2     	0.0487%	78.0185%
431   	gas                 	                    	2     	0.0487%	78.0672%
432   	such                	                    	2     	0.0487%	78.1159%
433   	free-riders         	                    	2     	0.0487%	78.1646%
434   	majority            	                    	2     	0.0487%	78.2132%
435   	food                	                    	2     	0.0487%	78.2619%
436   	contributed         	                    	2     	0.0487%	78.3106%
437   	second-hand         	                    	2     	0.0487%	78.3593%
438   	smoke               	                    	2     	0.0487%	78.4080%
439   	addressing          	                    	2     	0.0487%	78.4567%
440   	temperature         	                    	2     	0.0487%	78.5054%
441   	rise                	                    	2     	0.0487%	78.5540%
442   	billion             	                    	2     	0.0487%	78.6027%
443   	funding             	                    	2     	0.0487%	78.6514%
444   	developing          	                    	2     	0.0487%	78.7001%
445   	between             	                    	2     	0.0487%	78.7488%
446   	funds               	                    	2     	0.0487%	78.7975%
447   	suffer              	                    	2     	0.0487%	78.8462%
448   	policies            	                    	2     	0.0487%	78.8948%
449   	vulnerable          	                    	2     	0.0487%	78.9435%
450   	current             	                    	2     	0.0487%	78.9922%
451   	leaders             	                    	2     	0.0487%	79.0409%
452   	high-emitting       	                    	2     	0.0487%	79.0896%
453   	unhealthy           	                    	2     	0.0487%	79.1383%
454   	spent               	                    	2     	0.0487%	79.1870%
455   	suicide             	                    	2     	0.0487%	79.2356%
456   	wear                	                    	2     	0.0487%	79.2843%
457   	neon                	                    	2     	0.0487%	79.3330%
458   	sign                	                    	2     	0.0487%	79.3817%
459   	risky               	                    	2     	0.0487%	79.4304%
460   	illegal             	                    	2     	0.0487%	79.4791%
461   	smoking             	                    	2     	0.0487%	79.5278%
462   	experiencing        	                    	2     	0.0487%	79.5764%
463   	tons                	                    	2     	0.0487%	79.6251%
464   	don't               	                    	2     	0.0487%	79.6738%
465   	sleep               	                    	2     	0.0487%	79.7225%
466   	sedentary           	                    	2     	0.0487%	79.7712%
467   	lifestyle           	                    	2     	0.0487%	79.8199%
468   	study's             	                    	2     	0.0487%	79.8685%
469   	authors             	                    	2     	0.0487%	79.9172%
470   	vladimir            	                    	2     	0.0487%	79.9659%
471   	students            	                    	2     	0.0487%	80.0146%
472   	hours               	                    	2     	0.0487%	80.0633%
473   	low-risk            	                    	2     	0.0487%	80.1120%
474   	third               	                    	2     	0.0487%	80.1607%
475   	finding             	                    	2     	0.0487%	80.2093%
476   	provides            	                    	2     	0.0487%	80.2580%
477   	early-warning       	                    	2     	0.0487%	80.3067%
478   	treatment           	                    	2     	0.0487%	80.3554%
479   	attention           	                    	2     	0.0487%	80.4041%
480   	tend                	                    	2     	0.0487%	80.4528%
481   	writing             	                    	1     	0.0243%	80.4771%
482   	short               	                    	1     	0.0243%	80.5015%
483   	include             	                    	1     	0.0243%	80.5258%
484   	importance          	                    	1     	0.0243%	80.5501%
485   	measures            	                    	1     	0.0243%	80.5745%
486   	encourage           	                    	1     	0.0243%	80.5988%
487   	least               	                    	1     	0.0243%	80.6232%
488   	listening           	                    	1     	0.0243%	80.6475%
489   	conversations       	                    	1     	0.0243%	80.6719%
490   	links               	                    	1     	0.0243%	80.6962%
491   	studies             	                    	1     	0.0243%	80.7205%
492   	tries               	                    	1     	0.0243%	80.7449%
493   	predict             	                    	1     	0.0243%	80.7692%
494   	trends              	                    	1     	0.0243%	80.7936%
495   	costly              	                    	1     	0.0243%	80.8179%
496   	avoid               	                    	1     	0.0243%	80.8423%
497   	pressing            	                    	1     	0.0243%	80.8666%
498   	issue               	                    	1     	0.0243%	80.8909%
499   	bound               	                    	1     	0.0243%	80.9153%
500   	cause               	                    	1     	0.0243%	80.9396%
501   	endless             	                    	1     	0.0243%	80.9640%
502   	disputes            	                    	1     	0.0243%	80.9883%
503   	awareness           	                    	1     	0.0243%	81.0127%
504   	signing             	                    	1     	0.0243%	81.0370%
505   	major               	                    	1     	0.0243%	81.0613%
506   	transition          	                    	1     	0.0243%	81.0857%
507   	low-carbon          	                    	1     	0.0243%	81.1100%
508   	systems             	                    	1     	0.0243%	81.1344%
509   	plan                	                    	1     	0.0243%	81.1587%
510   	advance             	                    	1     	0.0243%	81.1831%
511   	adopt               	                    	1     	0.0243%	81.2074%
512   	down                	                    	1     	0.0243%	81.2317%
513   	plays               	                    	1     	0.0243%	81.2561%
514   	role                	                    	1     	0.0243%	81.2804%
515   	perfect             	                    	1     	0.0243%	81.3048%
516   	determines          	                    	1     	0.0243%	81.3291%
517   	knocks              	                    	1     	0.0243%	81.3535%
518   	means               	                    	1     	0.0243%	81.3778%
519   	seizing             	                    	1     	0.0243%	81.4021%
520   	possibly            	                    	1     	0.0243%	81.4265%
521   	create              	                    	1     	0.0243%	81.4508%
522   	self-confidence     	                    	1     	0.0243%	81.4752%
523   	essential           	                    	1     	0.0243%	81.4995%
524   	always              	                    	1     	0.0243%	81.5239%
525   	ready               	                    	1     	0.0243%	81.5482%
526   	seize               	                    	1     	0.0243%	81.5725%
527   	successful          	                    	1     	0.0243%	81.5969%
528   	rarely              	                    	1     	0.0243%	81.6212%
529   	contributes         	                    	1     	0.0243%	81.6456%
530   	love                	                    	1     	0.0243%	81.6699%
531   	care                	                    	1     	0.0243%	81.6943%
532   	passionate          	                    	1     	0.0243%	81.7186%
533   	effort              	                    	1     	0.0243%	81.7429%
534   	fun                 	                    	1     	0.0243%	81.7673%
535   	profitable          	                    	1     	0.0243%	81.7916%
536   	automatically       	                    	1     	0.0243%	81.8160%
537   	tall                	                    	1     	0.0243%	81.8403%
538   	chimney             	                    	1     	0.0243%	81.8647%
539   	piece               	                    	1     	0.0243%	81.8890%
540   	rock                	                    	1     	0.0243%	81.9133%
541   	peak                	                    	1     	0.0243%	81.9377%
542   	stump               	                    	1     	0.0243%	81.9620%
543   	giant               	                    	1     	0.0243%	81.9864%
544   	tree                	                    	1     	0.0243%	82.0107%
545   	human               	                    	1     	0.0243%	82.0351%
546   	activity            	                    	1     	0.0243%	82.0594%
547   	chemical            	                    	1     	0.0243%	82.0837%
548   	processes           	                    	1     	0.0243%	82.1081%
549   	wind                	                    	1     	0.0243%	82.1324%
550   	fire                	                    	1     	0.0243%	82.1568%
551   	fury                	                    	1     	0.0243%	82.1811%
552   	built               	                    	1     	0.0243%	82.2055%
553   	ancient             	                    	1     	0.0243%	82.2298%
554   	times               	                    	1     	0.0243%	82.2541%
555   	monument            	                    	1     	0.0243%	82.2785%
